EmployeeID,WorkHours,TasksCompleted,BreaksTaken,OvertimeHours,LeavesTaken,PerformanceRating,BurnoutRisk
E1000,68,40,0,2,5,2.4,0
E1001,58,16,5,14,1,3.9,0
E1002,44,13,1,2,5,2.6,0
E1003,37,28,1,14,8,3.2,1
E1004,50,39,2,5,2,2.5,0
E1005,68,40,4,0,8,2.1,0
E1006,48,44,0,13,7,2.6,0
E1007,52,30,1,15,6,3.6,0
E1008,40,40,0,0,7,3.4,0
E1009,40,28,3,16,9,3.5,1
E1010,53,40,3,7,5,2.7,0
E1011,65,41,4,17,2,4.1,0
E1012,69,11,1,15,6,4.1,0
E1013,53,19,2,5,3,3.1,0
E1014,32,11,1,9,10,4.6,1
E1015,51,11,0,9,9,3.9,0
E1016,31,33,5,4,4,4.1,1
E1017,53,26,3,11,7,2.8,0
E1018,59,41,0,19,6,2.0,1
E1019,67,25,4,16,6,4.6,0
E1020,31,25,3,13,7,4.5,0
E1021,50,48,2,13,9,2.4,1
E1022,62,40,3,2,2,3.1,0
E1023,41,33,5,11,2,4.0,0
E1024,51,10,1,19,1,4.0,0
E1025,54,20,5,17,0,4.6,0
E1026,56,30,5,11,9,2.4,0
E1027,57,13,1,1,5,3.3,0
E1028,45,16,3,1,5,2.3,0
E1029,44,35,4,16,9,3.2,0
E1030,32,21,1,9,7,2.0,0
E1031,66,40,1,17,5,4.7,0
E1032,36,26,2,18,5,3.6,1
E1033,50,42,3,0,0,4.5,0
E1034,38,20,1,3,6,2.2,1
E1035,68,37,4,3,6,2.7,0
E1036,47,41,0,1,9,2.8,0
E1037,33,10,3,18,8,3.2,0
E1038,54,37,2,11,6,4.4,0
E1039,43,16,5,9,7,3.2,0
E1040,38,11,1,12,3,2.6,0
E1041,55,33,4,19,8,2.2,0
E1042,31,13,3,14,0,2.2,1
E1043,49,28,4,2,7,4.3,1
E1044,57,35,4,19,2,3.3,0
E1045,36,20,5,12,0,4.2,0
E1046,37,49,2,7,1,4.0,0
E1047,64,20,3,6,5,2.4,0
E1048,43,12,1,7,4,2.4,0
E1049,46,21,2,17,2,4.3,0
E1050,65,12,1,8,8,4.2,1
E1051,69,36,0,5,7,3.1,0
E1052,33,11,4,3,2,2.2,0
